sample_id,variety,observable_id,species_id,source_species_code,source_value,source_unit,source_basis,canonical_value,canonical_unit,canonical_basis,uncertainty_value,uncertainty_type,uncertainty_scope,uncertainty_status,source_derived,protected_target,source_path,source_row_lineage
A14,Arabica,bioactives,caffeine,CF,5.24,g/L,directly_reported_beverage_volumetric_concentration,5.24,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,ferulic_acid,FA,0.27,g/L,directly_reported_beverage_volumetric_concentration,0.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,tartaric_acid,TA,3.53,g/L,directly_reported_beverage_volumetric_concentration,3.53,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,trigonelline,TR,3.53,g/L,directly_reported_beverage_volumetric_concentration,3.53,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,total_chlorogenic_acids,totCQA,8.02,g/L,directly_reported_beverage_volumetric_concentration,8.02,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,bioactives,total_organic_acids,totOA,21.38,g/L,directly_reported_beverage_volumetric_concentration,21.38,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A14
A14,Arabica,lipids,total_lipids,LP,0.44,g/100 mL,directly_reported_beverage_volumetric_concentration,4.4,kg/m^3,beverage_volume,12.1,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/lipids.csv,A14
A14,Arabica,total_solids,,,10.38,g/100 mL,directly_reported_beverage_volumetric_concentration,103.80000000000001,kg/m^3,beverage_volume,14.4,RSD_PERCENT,CONDITION_LEVEL,CONDITION_LEVEL_RSD_RETAINED,False,True,puckworks/data/angeloni2023/total_solids.csv,A14
A15,Arabica,bioactives,3_caffeoylquinic_acid,3CQA,2.44,g/L,directly_reported_beverage_volumetric_concentration,2.44,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A15
A15,Arabica,bioactives,3_5_dicaffeoylquinic_acid,3_5diCQA,0.27,g/L,directly_reported_beverage_volumetric_concentration,0.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A15
