family,run_index,particle_size_um,distribution_density_pct
family_red,0,154.49,-0.1102
family_red,0,155.29,-0.1093
family_red,0,156.09,-0.1088
family_red,0,156.89,-0.0986
family_red,1,156.89,-0.1084
family_red,0,157.7,-0.0982
family_red,1,157.7,-0.1079
family_red,0,158.52,-0.0982
family_red,1,158.52,-0.1075
family_red,0,160.16,-0.0977
family_red,0,160.98,-0.0973
family_red,0,161.81,-0.0966
family_red,0,162.65,-0.0957
family_red,0,163.49,-0.0946
family_red,0,164.33,-0.0937
family_red,0,165.18,-0.0916
family_red,1,165.18,-0.1027
family_red,0,166.03,-0.091
family_red,1,166.03,-0.1023
family_red,0,166.89,-0.0907
family_red,1,166.89,-0.102
family_red,0,167.75,-0.0905
family_red,1,167.75,-0.1016
family_red,0,168.62,-0.0903
family_red,1,168.62,-0.1011
family_red,0,169.49,-0.0901
family_red,1,169.49,-0.1007
family_red,0,170.36,-0.0894
family_red,1,170.36,-0.1002
family_red,0,171.24,-0.0894
family_red,1,171.24,-0.0998
family_red,0,172.12,-0.0892
family_red,1,172.12,-0.0993
family_red,2,172.12,-0.1108
family_red,0,173.01,-0.0887
family_red,1,173.01,-0.0989
family_red,2,173.01,-0.1106
family_red,0,173.91,-0.0878
family_red,1,173.91,-0.0984
family_red,2,173.91,-0.1104
family_red,0,174.8,-0.0869
family_red,1,174.8,-0.098
family_red,2,174.8,-0.1099
family_red,0,175.71,-0.0851
family_red,1,175.71,-0.0975
family_red,2,175.71,-0.1093
family_red,0,176.61,-0.0842
family_red,1,176.61,-0.0973
family_red,2,176.61,-0.1086
family_red,0,177.52,-0.0824
family_red,1,177.52,-0.0966
family_red,2,177.52,-0.1081
family_red,0,178.44,-0.0817
family_red,1,178.44,-0.0962
family_red,2,178.44,-0.1075
family_red,0,179.36,-0.0806
family_red,1,179.36,-0.0948
family_red,2,179.36,-0.1068
family_red,0,180.29,-0.0803
family_red,1,180.29,-0.0941
family_red,2,180.29,-0.1061
family_red,0,181.22,-0.0799
family_red,1,181.22,-0.0925
family_red,2,181.22,-0.1054
family_red,0,182.15,-0.0797
family_red,1,182.15,-0.0916
family_red,2,182.15,-0.1047
family_red,0,183.09,-0.0905
family_red,1,183.09,-0.1041
family_red,0,184.04,-0.0905
family_red,1,184.04,-0.1036
family_red,0,184.99,-0.0778
family_red,1,184.99,-0.0903
family_red,2,184.99,-0.1034
family_red,0,185.94,-0.0776
family_red,1,185.94,-0.0903
family_red,2,185.94,-0.1029
family_red,0,186.9,-0.0772
family_red,1,186.9,-0.0901
family_red,2,186.9,-0.1029
family_red,0,187.86,-0.0765
family_red,1,187.86,-0.0896
family_red,2,187.86,-0.1025
family_red,0,188.83,-0.0756
family_red,1,188.83,-0.0894
family_red,2,188.83,-0.1018
family_red,0,189.81,-0.0742
family_red,1,189.81,-0.0894
family_red,2,189.81,-0.1011
family_red,0,190.79,-0.0738
family_red,1,190.79,-0.0889
family_red,2,190.79,-0.1005
family_red,0,191.77,-0.0885
family_red,1,191.77,-0.1
family_red,0,192.76,-0.0711
family_red,1,192.76,-0.0867
family_red,0,193.76,-0.0706
family_red,1,193.76,-0.0837
family_red,0,194.76,-0.0672
family_red,0,195.76,-0.0659
family_red,0,198.81,-0.0575
family_red,0,199.83,-0.0552
family_red,1,199.83,-0.0892
family_red,0,200.87,-0.0525
family_red,0,201.9,-0.0503
family_red,0,202.94,-0.0458
family_red,1,202.94,-0.0623
family_red,0,203.99,-0.0448
family_red,1,203.99,-0.0618
family_red,0,205.04,-0.0417
family_red,1,205.04,-0.0607
family_red,2,205.04,-0.0751
family_red,0,206.1,-0.0406
family_red,1,206.1,-0.0604
family_red,2,206.1,-0.0738
family_red,0,207.17,-0.0376
family_red,1,207.17,-0.0589
family_red,2,207.17,-0.0715
family_red,0,208.24,-0.0367
family_red,1,208.24,-0.0577
family_red,0,209.31,-0.0344
family_red,1,209.31,-0.0543
family_red,0,210.39,-0.0329
family_red,1,210.39,-0.053
family_red,0,211.48,-0.032
family_red,1,211.48,-0.0498
family_red,0,212.57,-0.0304
family_red,1,212.57,-0.0478
family_red,2,212.57,-0.0699
family_red,0,213.66,-0.0281
family_red,1,213.66,-0.0313
family_red,2,213.66,-0.0464
family_red,3,213.66,-0.0688
family_red,0,214.77,-0.0286
family_red,1,214.77,-0.0462
family_red,2,214.77,-0.0681
family_red,0,215.88,-0.0254
family_red,1,215.88,-0.0286
family_red,2,215.88,-0.0462
family_red,3,215.88,-0.067
family_red,0,216.99,-0.0238
family_red,1,216.99,-0.0263
family_red,2,216.99,-0.046
family_red,3,216.99,-0.0661
family_red,0,218.11,-0.0216
family_red,1,218.11,-0.0448
family_red,2,218.11,-0.0652
family_red,0,219.23,-0.0207
family_red,1,219.23,-0.0439
family_red,2,219.23,-0.0643
family_red,0,220.37,-0.0179
family_red,1,220.37,-0.0419
family_red,0,221.5,-0.0168
family_red,1,221.5,-0.0406
family_red,2,221.5,-0.0611
family_red,0,222.65,-0.015
family_red,1,222.65,-0.0179
family_red,2,222.65,-0.0385
family_red,3,222.65,-0.0586
family_red,0,223.8,-0.0146
family_red,1,223.8,-0.0381
family_red,2,223.8,-0.0575
family_red,0,224.95,-0.0134
family_red,1,224.95,-0.0365
family_red,2,224.95,-0.0568
family_red,0,226.11,-0.0134
family_red,1,226.11,-0.036
family_red,2,226.11,-0.0564
family_red,0,227.28,-0.0137
family_red,1,227.28,-0.0351
family_red,2,227.28,-0.0559
family_red,0,228.45,-0.0137
family_red,1,228.45,-0.0347
family_red,2,228.45,-0.0557
family_red,0,229.63,-0.0132
family_red,1,229.63,-0.0331
family_red,2,229.63,-0.055
family_red,0,230.82,-0.0123
family_red,1,230.82,-0.0324
family_red,2,230.82,-0.0537
family_red,0,232.01,-0.0103
family_red,1,232.01,-0.0299
family_red,2,232.01,-0.0519
family_red,0,233.2,-0.0091
family_red,1,233.2,-0.029
