series,run_index,time_s,flow_rate_g_per_s
no_added_fines_yellow,0,6.73,3.0246
no_added_fines_yellow,1,6.73,2.9436
no_added_fines_yellow,2,6.73,2.8425
no_added_fines_yellow,3,6.73,1.1512
no_added_fines_yellow,4,6.73,0.6676
no_added_fines_yellow,5,6.73,0.1072
no_added_fines_yellow,0,6.79,3.0246
no_added_fines_yellow,1,6.79,2.887
no_added_fines_yellow,2,6.79,0.6717
no_added_fines_yellow,3,6.79,0.1376
no_added_fines_yellow,0,6.84,3.0246
no_added_fines_yellow,1,6.84,2.9598
no_added_fines_yellow,2,6.84,2.8142
no_added_fines_yellow,3,6.84,1.2078
no_added_fines_yellow,4,6.84,0.8092
no_added_fines_yellow,5,6.84,0.1376
no_added_fines_yellow,0,6.9,3.0266
no_added_fines_yellow,1,6.9,2.9699
no_added_fines_yellow,2,6.9,2.889
no_added_fines_yellow,3,6.9,2.7717
no_added_fines_yellow,4,6.9,1.2139
no_added_fines_yellow,5,6.9,0.8133
no_added_fines_yellow,6,6.9,0.3419
no_added_fines_yellow,0,6.95,2.9416
no_added_fines_yellow,1,6.95,2.7231
no_added_fines_yellow,2,6.95,1.226
no_added_fines_yellow,3,6.95,0.8194
no_added_fines_yellow,4,6.95,0.3763
no_added_fines_yellow,5,6.95,0.1699
no_added_fines_yellow,0,7.0,3.0408
no_added_fines_yellow,1,7.0,2.6968
no_added_fines_yellow,2,7.0,1.2301
no_added_fines_yellow,3,7.0,0.8194
no_added_fines_yellow,4,7.0,0.3763
no_added_fines_yellow,5,7.0,0.172
no_added_fines_yellow,0,7.06,3.1419
no_added_fines_yellow,1,7.06,2.9922
no_added_fines_yellow,2,7.06,2.6685
no_added_fines_yellow,3,7.06,1.2685
no_added_fines_yellow,4,7.06,0.8194
no_added_fines_yellow,5,7.06,0.7182
no_added_fines_yellow,6,7.06,0.2043
no_added_fines_yellow,0,7.11,3.146
no_added_fines_yellow,1,7.11,3.0064
no_added_fines_yellow,2,7.11,2.6584
no_added_fines_yellow,3,7.11,1.2645
no_added_fines_yellow,4,7.11,0.8194
no_added_fines_yellow,5,7.11,0.7243
no_added_fines_yellow,6,7.11,0.2043
no_added_fines_yellow,0,7.17,3.148
no_added_fines_yellow,1,7.17,3.0205
no_added_fines_yellow,2,7.17,2.6786
no_added_fines_yellow,3,7.17,1.2543
no_added_fines_yellow,4,7.17,0.7364
no_added_fines_yellow,5,7.17,0.2347
no_added_fines_yellow,0,7.22,3.146
no_added_fines_yellow,1,7.22,2.713
no_added_fines_yellow,2,7.22,1.2483
no_added_fines_yellow,3,7.22,0.785
no_added_fines_yellow,4,7.22,0.2347
no_added_fines_yellow,0,7.28,3.2815
no_added_fines_yellow,1,7.28,3.0286
no_added_fines_yellow,2,7.28,2.7353
no_added_fines_yellow,3,7.28,1.2442
no_added_fines_yellow,4,7.28,0.7769
no_added_fines_yellow,5,7.28,0.4147
no_added_fines_yellow,6,7.28,0.2691
no_added_fines_yellow,0,7.33,3.2633
no_added_fines_yellow,1,7.33,3.0488
no_added_fines_yellow,2,7.33,2.7514
no_added_fines_yellow,3,7.33,1.2442
no_added_fines_yellow,4,7.33,0.785
no_added_fines_yellow,5,7.33,0.4147
no_added_fines_yellow,6,7.33,0.2691
no_added_fines_yellow,0,7.39,3.15
no_added_fines_yellow,1,7.39,2.7595
no_added_fines_yellow,2,7.39,1.3009
no_added_fines_yellow,3,7.39,0.789
no_added_fines_yellow,0,7.44,3.1601
no_added_fines_yellow,1,7.44,2.7656
no_added_fines_yellow,2,7.44,1.3069
no_added_fines_yellow,3,7.44,0.787
no_added_fines_yellow,4,7.44,0.2994
no_added_fines_yellow,0,7.49,3.1601
no_added_fines_yellow,1,7.49,2.8061
no_added_fines_yellow,2,7.49,1.315
no_added_fines_yellow,3,7.49,0.8335
no_added_fines_yellow,4,7.49,0.789
no_added_fines_yellow,0,7.55,3.1621
no_added_fines_yellow,1,7.55,2.8465
no_added_fines_yellow,2,7.55,1.315
no_added_fines_yellow,3,7.55,0.8376
no_added_fines_yellow,4,7.55,0.2832
no_added_fines_yellow,0,7.6,3.2431
no_added_fines_yellow,1,7.6,2.9234
no_added_fines_yellow,2,7.6,1.311
no_added_fines_yellow,3,7.6,0.8436
no_added_fines_yellow,0,7.66,3.2977
no_added_fines_yellow,1,7.66,3.0003
no_added_fines_yellow,2,7.66,1.3029
no_added_fines_yellow,3,7.66,0.9003
no_added_fines_yellow,4,7.66,0.8538
no_added_fines_yellow,0,7.71,3.3665
no_added_fines_yellow,1,7.71,3.2329
no_added_fines_yellow,2,7.71,3.1682
no_added_fines_yellow,3,7.71,3.0387
no_added_fines_yellow,4,7.71,1.3009
no_added_fines_yellow,5,7.71,0.9023
no_added_fines_yellow,6,7.71,0.8598
no_added_fines_yellow,7,7.71,0.8416
no_added_fines_yellow,8,7.71,0.261
no_added_fines_yellow,0,7.77,3.4049
no_added_fines_yellow,1,7.77,3.2329
no_added_fines_yellow,2,7.77,3.1257
no_added_fines_yellow,3,7.77,1.3029
no_added_fines_yellow,4,7.77,0.9023
no_added_fines_yellow,5,7.77,0.8254
no_added_fines_yellow,6,7.77,0.4046
no_added_fines_yellow,7,7.77,0.261
no_added_fines_yellow,0,7.82,3.4049
no_added_fines_yellow,1,7.82,3.2289
no_added_fines_yellow,2,7.82,3.0711
no_added_fines_yellow,3,7.82,1.3434
no_added_fines_yellow,4,7.82,0.8234
no_added_fines_yellow,0,7.88,3.3988
no_added_fines_yellow,1,7.88,3.2451
no_added_fines_yellow,2,7.88,3.0387
