time_s,line_pressure_bar,mass_g
63.5580,9.0973,71.7267
63.6510,9.0762,71.9218
63.7440,9.0980,72.0967
63.8370,9.0800,72.2726
63.9300,9.0762,72.4485
64.0240,9.0875,72.6392
64.1170,9.0980,72.7973
64.2110,9.1250,72.9680
64.3040,9.1115,73.1645
64.3970,9.0492,73.3630
64.4900,9.0373,73.5340
64.5840,9.0620,73.7176
64.6770,9.0935,73.8993
64.7710,9.0958,74.0920
64.8640,9.0492,74.2972
64.9570,9.0215,74.4510
65.0510,9.0717,74.6413
65.1440,9.0515,74.8196
65.2370,9.1025,75.0065
65.3300,9.0815,75.2016
65.4240,9.0860,75.3924
65.5180,9.1280,75.5587
65.6110,9.0793,75.7485
65.7040,9.0860,75.9330
65.7970,9.0815,76.1079
65.8900,9.1212,76.2733
65.9830,9.1408,76.4318
66.0780,9.1280,76.6058
66.1710,9.0942,76.8028
66.2640,9.0680,76.9143
66.3570,9.0935,77.0287
66.4500,9.1137,77.1637
66.5440,9.1182,77.3396
66.6370,9.0988,77.5333
66.7310,9.0913,77.7341
66.8240,9.0898,77.9245
66.9170,9.0785,78.1133
67.0110,9.0755,78.3147
67.1040,9.0913,78.5007
67.1970,9.1070,78.7111
67.2900,9.1348,78.9649
67.3840,9.1175,79.1999
67.4770,9.0777,79.3604
67.5710,9.0695,79.5478
67.6640,9.1033,79.7270
67.7570,9.1250,79.8986
67.8500,9.1385,80.0947
67.9430,9.1010,80.2821
68.0380,9.0650,80.4801
68.1310,9.1108,80.6560
68.2240,9.0793,80.8362
68.3170,9.1288,81.0183
68.4100,9.1002,81.1913
68.5040,9.1070,81.3485
68.5970,9.1400,81.5460
68.6910,9.0905,81.7420
68.7840,9.0860,81.9391
68.8770,9.0740,82.0986
68.9700,9.1130,82.2726
69.0640,9.1392,82.4408
69.1570,9.1265,82.6513
69.2500,9.0920,82.8392
69.3440,9.0635,82.9939
69.4370,9.0785,83.1626
69.5310,9.1085,83.3303
69.6240,9.1077,83.5086
69.7170,9.0913,83.6989
69.8100,9.0920,83.8921
69.9030,9.1062,84.0728
69.9980,9.0777,84.2501
70.0910,9.0785,84.4418
70.1840,9.0823,84.5831
70.2770,9.1145,84.7994
70.3700,9.1137,84.9695
70.4630,9.0988,85.1579
70.5580,9.0492,85.3213
70.6510,9.0215,85.4952
70.7440,9.0650,85.6692
70.8370,9.0598,85.8254
70.9300,9.0838,86.0282
71.0240,9.0642,86.1935
71.1170,9.0463,86.3862
71.2110,9.0740,86.5750
71.3040,9.0538,86.7356
71.3970,9.1092,86.8980
71.4910,9.1048,87.0806
71.5840,9.1070,87.2747
71.6770,9.1430,87.4578
71.7700,9.1160,87.6366
71.8640,9.1100,87.8216
71.9570,9.1122,88.0134
72.0510,9.1423,88.1873
72.1440,9.1677,88.3373
72.2370,9.1625,88.5040
72.3300,9.1265,88.6987
72.4230,9.0890,88.9183
72.5180,9.1085,89.1028
72.6110,9.1318,89.2792
72.7040,9.1692,89.4690
72.7970,9.1640,89.6809
72.8900,9.1700,89.8654
72.9840,9.1542,90.0264
73.0770,9.1235,90.2023
73.1710,9.1167,90.4008
73.2640,9.1122,90.5719
73.3570,9.1587,90.7550
73.4500,9.1662,90.9371
73.5440,9.1483,91.1010
73.6370,9.1085,91.2817
73.7300,9.0973,91.4571
73.8240,9.1475,91.6176
73.9170,9.1550,91.7862
74.0110,9.1842,91.9905
74.1040,9.1730,92.1712
74.1970,9.1467,92.3442
74.2900,9.1783,92.5201
74.3830,9.1362,92.6830
74.4780,9.1512,92.8694
74.5710,9.1617,93.0679
74.6640,9.1610,93.2678
74.7570,9.1917,93.4576
74.8500,9.1550,93.6095
74.9430,9.1227,93.7854
75.0370,9.1205,93.9584
75.1310,9.1378,94.1357
75.2240,9.1812,94.3164
75.3170,9.1768,94.5077
75.4100,9.1527,94.6884
75.5040,9.1235,94.8767
75.5970,9.1438,95.0521
75.6910,9.1333,95.2064
75.7840,9.1535,95.3881
75.8770,9.1303,95.5726
75.9710,9.1438,95.7312
76.0640,9.1677,95.8941
76.1570,9.1265,96.0488
76.2500,9.1033,96.2031
76.3440,9.0800,96.3886
76.4370,9.1370,96.6005
76.5310,9.1392,96.7754
76.6240,9.1445,96.9297
76.7170,9.1070,97.0974
76.8100,9.0658,97.2733
76.9030,9.1122,97.4329
76.9980,9.1167,97.5962
77.0910,9.1295,97.7894
77.1840,9.1115,97.9547
77.2770,9.0935,98.1330
77.3700,9.1242,98.3229
77.4640,9.0875,98.4824
77.5570,9.0838,98.6645
77.6510,9.0905,98.8279
77.7440,9.1010,99.0134
77.8370,9.1318,99.1951
77.9300,9.1145,99.3796
78.0240,9.0665,99.5555
78.1170,9.0545,99.6958
78.2100,9.0762,99.8904
78.3040,9.1190,100.0870
78.3970,9.1137,100.2379
78.4910,9.0755,100.3965
78.5840,9.0538,100.5853
78.6770,9.0725,100.7679
78.7700,9.0478,100.9563
78.8630,9.0853,101.1163
78.9580,9.0575,101.2754
79.0510,9.0612,101.4542
79.1440,9.0815,101.6171
79.2370,9.0350,101.7997
79.3300,9.0403,101.9857
79.4230,9.0222,102.1712
79.5180,9.0725,102.3668
79.6110,9.0800,102.5465
79.7040,9.0875,102.7315
79.7970,9.0650,102.8959
79.8900,9.0388,103.0746
79.9840,9.0725,103.2621
80.0770,9.1070,103.4298
80.1710,9.1182,103.5850
80.2640,9.1017,103.7566
80.3570,9.0650,103.9204
80.4510,9.1002,104.1064
80.5440,9.0747,104.2996
80.6370,9.0770,104.4711
80.7300,9.0913,104.6398
80.8240,9.1025,104.8301
80.9170,9.1152,104.9959
81.0110,9.0875,105.1463
81.1040,9.0485,105.3198
81.1970,9.0567,105.5269
81.2900,9.0808,105.6951
81.3830,9.1062,105.8556
81.4780,9.1145,106.0560
81.5710,9.0658,106.2761
81.6640,9.0530,106.4573
81.7570,9.0898,106.6188
