t_over_tnu,Dr=0.0005,Dr=0.0010,Dr=0.0050,Dr=0.0200
183.5,0.036605,0.041599,0.05171,0.060349
184.0,0.036452,0.041415,0.051664,0.060211
184.5,0.036452,0.041415,0.051526,0.060135
185.0,0.036452,0.041415,0.051526,0.060028
185.5,0.036422,0.041354,0.051403,0.059982
186.0,0.03636,0.041262,0.051342,0.059828
186.5,0.036268,0.041232,0.051204,0.059752
187.0,0.036268,0.04117,0.051158,0.059614
187.5,0.036268,0.041048,0.051112,0.059614
188.0,0.036176,0.041048,0.050974,0.059461
188.5,0.036085,0.041048,0.050974,0.05943
189.0,0.036085,0.040925,0.050821,0.059246
189.5,0.036054,0.040864,0.05079,0.059185
190.0,0.035993,0.040864,0.050653,0.059062
190.5,0.035993,0.040803,0.050607,0.059032
191.0,0.035901,0.04068,0.050561,0.058925
191.5,0.035901,0.04068,0.050423,0.058848
192.0,0.035901,0.04068,0.050423,0.058695
192.5,0.035839,0.040588,0.0503,0.058634
193.0,0.035717,0.040496,0.050239,0.058511
193.5,0.035717,0.040496,0.050239,0.058419
194.0,0.035717,0.040343,0.050086,0.058358
194.5,0.035625,0.040312,0.050055,0.058281
195.0,0.035625,0.040312,0.049994,0.058143
195.5,0.035533,0.040221,0.049871,0.058143
196.0,0.035533,0.04019,0.049841,0.05799
196.5,0.035533,0.040129,0.049687,0.05796
197.0,0.035487,0.040129,0.049687,0.057837
197.5,,0.040006,0.049534,0.057745
198.0,,0.039945,0.049504,0.057592
198.5,,0.039945,0.049473,0.057561
199.0,,0.039945,0.04932,0.057454
199.5,,0.039761,0.04932,0.057408
