exp,rep,doe_role,target_flow_ml_s,scale_flow_ml_s,grind_level,target_temp_C,decent_temp_C,pressure_max_bar,component,brew_ratio,mass_in_cup,mass_units,conc_in_cup
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,5-CQA,1/2,123.01871,mg,3.07546775
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,5-CQA,1/3,133.45196,mg,2.2241993333333334
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,TDS,1/1,2.96993,g,0.1484965
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,TDS,1/2,3.86587,g,0.09664675
5.0,1.0,DoE Axis Point,2.0,1.92502,1.7,80.0,79.21331,3.58,TDS,1/3,4.13615,g,0.06893583333333334
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,trigonelline,1/1,80.67686,mg,4.033843
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,trigonelline,1/2,101.69593,mg,2.54239825
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,trigonelline,1/3,107.17211,mg,1.7862018333333334
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,caffeine,1/1,133.36365,mg,6.6681825
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,caffeine,1/2,186.77308,mg,4.669327
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,caffeine,1/3,208.16247,mg,3.4693745000000002
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,5-CQA,1/1,88.05048,mg,4.402524
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,5-CQA,1/2,120.27916,mg,3.0069790000000003
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,5-CQA,1/3,132.07567,mg,2.201261166666667
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,TDS,1/1,2.94526,g,0.147263
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,TDS,1/2,3.92549,g,0.09813725
5.0,2.0,DoE Axis Point,2.0,1.92435,1.7,80.0,79.18766,3.82,TDS,1/3,4.25173,g,0.07086216666666667
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,trigonelline,1/1,81.48576,mg,4.074288
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,trigonelline,1/2,105.35751,mg,2.6339377500000003
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,trigonelline,1/3,112.35089,mg,1.8725148333333335
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,caffeine,1/1,128.54266,mg,6.427133
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,caffeine,1/2,182.81079,mg,4.57026975
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,caffeine,1/3,205.72171,mg,3.4286951666666665
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,5-CQA,1/1,86.66055,mg,4.3330275
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,5-CQA,1/2,120.21304,mg,3.005326
5.0,3.0,DoE Axis Point,2.0,1.95368,1.7,80.0,79.05338,3.27,5-CQA,1/3,133.2036,mg,2.2200599999999997
