exp,flow_set_ml_s,grind_level_set,temp_set_C,rep,fraction,mass_fraction_g,mass_accumulated_g,c_trigonelline_mg_g,c_caffeine_mg_g,c_5cqa_mg_g
11.0,1.0,2.0,98.0,3.0,5.0,5.8422,26.2457,1.08946,2.74552,1.71795
11.0,1.0,2.0,98.0,3.0,7.0,5.3589,37.45405,0.55251,1.63822,1.0244
11.0,1.0,2.0,98.0,3.0,10.0,5.4031,53.29735,0.2832,0.99256,0.604
12.0,3.0,1.4,80.0,1.0,1.0,5.858,2.929,5.66703,8.97944,5.851
12.0,3.0,1.4,80.0,1.0,2.0,5.5591,8.63755,3.3826,6.23128,3.89139
12.0,3.0,1.4,80.0,1.0,3.0,5.7621,14.29815,2.21181,4.54504,2.75613
12.0,3.0,1.4,80.0,1.0,5.0,5.6167,25.81385,1.33239,2.97578,1.73661
12.0,3.0,1.4,80.0,1.0,7.0,6.1449,37.99835,0.99276,2.28556,1.37151
12.0,3.0,1.4,80.0,1.0,10.0,6.368,56.8204,0.38597,1.29073,0.70134
12.0,3.0,1.4,80.0,2.0,1.0,7.0479,3.52395,5.03051,7.90849,5.30243
12.0,3.0,1.4,80.0,2.0,2.0,6.047,10.0714,2.62189,4.95484,3.09596
12.0,3.0,1.4,80.0,2.0,3.0,6.615,16.4024,1.90226,3.74669,2.337
12.0,3.0,1.4,80.0,2.0,5.0,6.6142,30.2587,1.18591,2.53413,1.52999
12.0,3.0,1.4,80.0,2.0,7.0,6.22,42.9482,0.925,2.0683,1.27572
12.0,3.0,1.4,80.0,2.0,10.0,6.833,62.6868,0.38193,1.11779,0.64124
12.0,3.0,1.4,80.0,3.0,1.0,9.5175,4.75875,4.63117,7.61632,4.99914
12.0,3.0,1.4,80.0,3.0,2.0,5.7319,12.38345,2.28833,4.64484,2.78887
12.0,3.0,1.4,80.0,3.0,3.0,6.0559,18.27735,1.75516,3.74873,2.25468
12.0,3.0,1.4,80.0,3.0,5.0,6.356,30.1262,1.05928,2.44378,1.41857
12.0,3.0,1.4,80.0,3.0,7.0,9.4478,41.6834,0.85599,1.93076,1.17233
12.0,3.0,1.4,80.0,3.0,10.0,6.3797,62.17785,0.44859,1.31369,0.7482
13.0,3.0,1.4,98.0,1.0,1.0,5.6423,2.82115,5.82339,9.1772,6.19931
13.0,3.0,1.4,98.0,1.0,2.0,6.9892,9.1369,3.36509,6.274,3.96051
13.0,3.0,1.4,98.0,1.0,3.0,7.2565,16.25975,2.06202,4.29026,2.63464
13.0,3.0,1.4,98.0,1.0,5.0,6.7855,30.03635,1.16067,2.68592,1.59474
13.0,3.0,1.4,98.0,1.0,7.0,6.0331,43.72605,0.83884,2.03557,1.23926
13.0,3.0,1.4,98.0,1.0,10.0,6.7292,62.2862,0.32071,1.04532,0.59269
13.0,3.0,1.4,98.0,2.0,1.0,9.9282,4.9641,4.73783,7.932,5.22797
13.0,3.0,1.4,98.0,2.0,2.0,6.5747,13.21555,2.49239,5.08438,3.05448
13.0,3.0,1.4,98.0,2.0,3.0,6.9453,19.97555,1.77274,3.76862,2.27682
13.0,3.0,1.4,98.0,2.0,5.0,7.4514,34.0126,0.98345,2.33832,1.35957
13.0,3.0,1.4,98.0,2.0,7.0,5.6609,46.72345,0.75476,1.92425,1.14314
13.0,3.0,1.4,98.0,2.0,10.0,7.5188,65.956,0.27598,0.91574,0.50908
13.0,3.0,1.4,98.0,3.0,1.0,6.0712,3.0356,5.54876,8.92196,5.87556
13.0,3.0,1.4,98.0,3.0,2.0,6.6505,9.39645,3.20218,6.11403,3.77945
13.0,3.0,1.4,98.0,3.0,3.0,6.6572,16.0503,1.94034,4.08608,2.46585
13.0,3.0,1.4,98.0,3.0,5.0,6.2568,28.7873,1.17045,2.7341,1.60282
13.0,3.0,1.4,98.0,3.0,7.0,5.6267,40.79305,0.90105,2.12705,1.29219
13.0,3.0,1.4,98.0,3.0,10.0,6.1952,52.6865,0.42704,1.23401,0.71633
14.0,3.0,2.0,80.0,1.0,1.0,8.8652,4.4326,4.90202,7.45227,5.28328
14.0,3.0,2.0,80.0,1.0,2.0,6.0785,11.90445,2.82671,5.00875,3.34792
14.0,3.0,2.0,80.0,1.0,3.0,5.9738,17.9306,2.08312,3.90488,2.60885
14.0,3.0,2.0,80.0,1.0,5.0,6.1192,29.6328,1.20737,2.62847,1.65629
14.0,3.0,2.0,80.0,1.0,7.0,5.4428,41.1606,0.77941,1.89453,1.18931
14.0,3.0,2.0,80.0,1.0,10.0,5.8585,58.07345,0.34608,1.08503,0.6364
14.0,3.0,2.0,80.0,2.0,1.0,6.8257,3.41285,5.62248,8.37447,5.76214
14.0,3.0,2.0,80.0,2.0,2.0,6.1472,9.8993,3.38065,5.8399,3.85127
14.0,3.0,2.0,80.0,2.0,3.0,6.0664,16.0061,2.3222,4.34388,2.82279
14.0,3.0,2.0,80.0,2.0,5.0,5.5517,27.48285,1.34887,2.90226,1.78196
14.0,3.0,2.0,80.0,2.0,7.0,5.5349,39.19805,0.81965,1.97648,1.2069
14.0,3.0,2.0,80.0,2.0,10.0,5.5732,55.9473,0.3849,1.18245,0.67781
14.0,3.0,2.0,80.0,3.0,1.0,7.6728,3.8364,5.28044,8.04111,5.45162
14.0,3.0,2.0,80.0,3.0,2.0,6.3988,10.8722,3.17019,5.62555,3.60986
14.0,3.0,2.0,80.0,3.0,3.0,6.3411,17.24215,2.22404,4.23757,2.6936
14.0,3.0,2.0,80.0,3.0,5.0,5.8831,29.17035,1.25796,2.79857,1.68331
14.0,3.0,2.0,80.0,3.0,7.0,5.7979,40.56175,0.75527,1.90796,1.13535
14.0,3.0,2.0,80.0,3.0,10.0,5.6492,57.6301,0.34583,1.129,0.62689
15.0,3.0,2.0,98.0,1.0,1.0,4.6497,2.32485,5.93488,8.81273,6.30635
15.0,3.0,2.0,98.0,1.0,2.0,5.5751,7.43725,4.23625,7.05663,4.85453
15.0,3.0,2.0,98.0,1.0,3.0,5.5553,13.00245,2.87293,5.29263,3.55121
15.0,3.0,2.0,98.0,1.0,5.0,4.9488,23.2905,1.54692,3.35689,2.11942
15.0,3.0,2.0,98.0,1.0,7.0,4.8097,33.31125,1.04534,2.40395,1.53179
15.0,3.0,2.0,98.0,1.0,10.0,4.4044,47.0507,0.56367,1.58022,0.95361
15.0,3.0,2.0,98.0,2.0,1.0,8.9818,4.4909,5.04646,8.06664,5.50953
15.0,3.0,2.0,98.0,2.0,2.0,6.091,12.0273,2.92776,5.57141,3.54897
